"file","topic","sentiment","opinion","node"
"20250807_Høreapparater_til_40000_kr_En_skandale_men_hvorfor_er_det_nødvendigt.csv",1,"neutral",0,"topic_1_neutral"
"20250821_Kommunen_foreslår_legendarisk_grillbar_kan_rykke_ind_i_stueetagen_på_nybyggeri.csv",4,"negative",-1,"topic_4_negative"
"20250824_Svanepleje_Ældre_i_Syddjurs_kan_stadig_vælge_os.csv",1,"positive",1,"topic_1_positive"
"20250827_Farvel_til_en_sort_afgift_Landdistrikterne_vinder_mest.csv",3,"neutral",0,"topic_3_neutral"
"20250827_Taxachauffør_er_dybt_frustreret_Kunderne_kommer_til_at_betale_meget_mere.csv",9,"positive",1,"topic_9_positive"
"20250902_Boligmarkedet_Værre_end_nogensinde_og_i_Aarhus_er_det_helt_galt.csv",1,"negative",-1,"topic_1_negative"
"20250917_Er_du_enig_Her_er_tidligere_redaktørs_bud_på_de_mest_besynderlige_beslutninger_i_Aarhus.csv",1,"neutral",0,"topic_1_neutral"
"20250917_Er_du_enig_Her_er_tidligere_redaktørs_bud_på_de_mest_besynderlige_beslutninger_i_Aarhus.csv",3,"neutral",0,"topic_3_neutral"
"20250917_Er_du_enig_Her_er_tidligere_redaktørs_bud_på_de_mest_besynderlige_beslutninger_i_Aarhus.csv",7,"negative",-1,"topic_7_negative"
"20250917_Er_du_enig_Her_er_tidligere_redaktørs_bud_på_de_mest_besynderlige_beslutninger_i_Aarhus.csv",9,"negative",-1,"topic_9_negative"
"20250917_Er_du_enig_Her_er_tidligere_redaktørs_bud_på_de_mest_besynderlige_beslutninger_i_Aarhus.csv",10,"neutral",0,"topic_10_neutral"
"20250918_Bestseller-milliardærs_kæmpe_jordopkøb_har_konsekvenser_for_kommunen.csv",1,"neutral",0,"topic_1_neutral"
"20250925_Aarhus_-_et_trygt_hjem_gennem_hele_livet.csv",1,"positive",1,"topic_1_positive"
"20250930_Partier_smider_bombe.csv",1,"neutral",0,"topic_1_neutral"
"20250930_Partier_trækker_sig_fra_forlig_om_veje_Ønsker_omstridt_aftale_hen_hvor_peberet_gror.csv",1,"neutral",0,"topic_1_neutral"
"20251003_Virkeligheden_banker_på_Nu_vakler_rådhuset.csv",1,"neutral",0,"topic_1_neutral"
"20251003_Virkeligheden_banker_på_Nu_vakler_rådhuset.csv",4,"negative",-1,"topic_4_negative"
"20251006_Ny_stemme_ind_i_kamp_mod_privatisering_af_veje_Stemmen_kan_ændre_livet_for_30000_grundejere.csv",1,"neutral",0,"topic_1_neutral"
"20251008_Ingen_borger_skal_betale_dobbelt_for_den_samme_vej.csv",1,"neutral",0,"topic_1_neutral"
"20251008_Ingen_borger_skal_betale_dobbelt_for_den_samme_vej.csv",2,"neutral",0,"topic_2_neutral"
"20251024_Bent_slog_til_ved_valgmøde_-_nu_er_borgmester_klar_til_dans_om_omstridte_villaveje.csv",1,"neutral",0,"topic_1_neutral"
"20251109_Betalingsring_vil_skabe_ulighed_i_Aarhus.csv",9,"positive",1,"topic_9_positive"
"20251114_Politikere_erkender_problemer_med_at_lokke_forældre_til_folkeskolen_En_konstatering_af_integrationsu.csv",5,"negative",-1,"topic_5_negative"
"20250806_Flertal_vil_droppe_tv_fra_byrådsmøder.csv",2,"negative",-1,"topic_2_negative"
"20250808_Containerterminal_slår_corona-rekord_uden_problemer_Men_hvad_med_milliardinvesteringen.csv",8,"neutral",0,"topic_8_neutral"
"20250818_Aarhus_vrager_techgigant_og_bygger_sin_egen_AI-assistent.csv",2,"negative",-1,"topic_2_negative"
"20250820_Hvorfor_skal_trafikflowet_i_byen_fuldstændig_ødelægges.csv",2,"negative",-1,"topic_2_negative"
"20250820_Hvorfor_skal_trafikflowet_i_byen_fuldstændig_ødelægges.csv",9,"neutral",0,"topic_9_neutral"
"20250826_Rekordmange_budgetforslag_i_valgår_Borgmesteren_foreslår_at_bruge_212_millioner_kroner_på_velfærd_tr.csv",2,"negative",-1,"topic_2_negative"
"20250826_Rådmand_reagerer_på_borgmester-udspil_Der_er_brug_for_flere_ressourcer_og_mere_ro_på.csv",2,"negative",-1,"topic_2_negative"
"20250903_Aarhus_skal_ikke_være_tredjesidst_vi_skal_være_bedst_til_velfærd.csv",2,"negative",-1,"topic_2_negative"
"20250905_Kommunen_overtager_og_vil_nedlægge_herberger_Ikke_en_spareøvelse_-_men_kritikken_hagler_ned.csv",2,"neutral",0,"topic_2_neutral"
"20250917_Inden_valget_Vil_det_næste_byråd_prioritere_effektiv_og_god_ledelse_og_styring_af_projekter_og_resso.csv",3,"positive",1,"topic_3_positive"
"20250917_Inden_valget_Vil_det_næste_byråd_prioritere_effektiv_og_god_ledelse_og_styring_af_projekter_og_resso.csv",8,"neutral",0,"topic_8_neutral"
"20250917_Inden_valget_Vil_det_næste_byråd_prioritere_effektiv_og_god_ledelse_og_styring_af_projekter_og_resso.csv",10,"neutral",0,"topic_10_neutral"
"20250919_Kommunens_budget_er_på_plads_Sådan_blev_pengene_fordelt.csv",2,"negative",-1,"topic_2_negative"
"20250926_258_millioner_grunde_til_mere_open_source_i_Aarhus.csv",2,"negative",-1,"topic_2_negative"
"20251006_Forligspartierne_glemte_noget_vigtigt_Nu_udhuler_vi_vores_kulturliv.csv",2,"negative",-1,"topic_2_negative"
"20251006_Vi_har_nu_muligheden_for_at_tænke_rigtig_stort_for_bylivet_i_Aarhus.csv",2,"negative",-1,"topic_2_negative"
"20251009_Kunstig_intelligens_kan_trylle_millioner_frem_til_flere_cykelstier.csv",2,"negative",-1,"topic_2_negative"
"20251015_Skær_ned_på_administrationen_og_løft_kernevelfærden_i_stedet_Er_det_sød_musik_i_andre_blå_ører.csv",2,"neutral",0,"topic_2_neutral"
"20251016_Underskud_på_150_millioner_Konsekvenserne_mærkes_allerede_nu.csv",2,"negative",-1,"topic_2_negative"
"20251030_Ny_måling_Det_mener_aarhusianerne_om_stadionsagen_højhusbyggeri_vindmøller_trafikken_og_meget_andet.csv",8,"neutral",0,"topic_8_neutral"
"20251030_Ny_måling_Det_mener_aarhusianerne_om_stadionsagen_højhusbyggeri_vindmøller_trafikken_og_meget_andet.csv",10,"neutral",0,"topic_10_neutral"
"20250921_Politiker_har_købt_omtalt_t-shirt_Vi_er_her_jo_for_borgernes_og_handelslivets_skyld.csv",4,"negative",-1,"topic_4_negative"
"20250921_Politiker_har_købt_omtalt_t-shirt_Vi_er_her_jo_for_borgernes_og_handelslivets_skyld.csv",7,"negative",-1,"topic_7_negative"
"20250831_I_Vestergade_holder_de_vejret_-_vil_politikerne_få_styr_på_trafikken_i_gaden_før_den_værste_ulykke_s.csv",9,"positive",1,"topic_9_positive"
"20250812_Nye_digitale_tavler_er_på_vej_Vi_vil_gøre_det_lettere_at_være_bilist.csv",7,"negative",-1,"topic_7_negative"
"20250812_Nye_digitale_tavler_er_på_vej_Vi_vil_gøre_det_lettere_at_være_bilist.csv",9,"neutral",0,"topic_9_neutral"
"20250901_Politikere_er_uenige_om_hvor_bilerne_skal_parkere_Forslaget_er_et_udtryk_for_politisk_skizofreni.csv",7,"negative",-1,"topic_7_negative"
"20250901_Politikere_er_uenige_om_hvor_bilerne_skal_parkere_Forslaget_er_et_udtryk_for_politisk_skizofreni.csv",9,"negative",-1,"topic_9_negative"
"20251110_Ritas_restaurant_mister_p-pladser_efter_30_år_Det_er_som_om_vi_er_mindre_vigtige.csv",7,"negative",-1,"topic_7_negative"
"20251117_Ikonisk_restaurant_får_lov_at_beholde_p-pladser_Den_lille_restauratør_er_blevet_hørt.csv",7,"negative",-1,"topic_7_negative"
