"from","to","weight","weight_norm"
"topic_10_neutral","topic_8_neutral",2,1
"topic_7_negative","topic_9_negative",2,1
"topic_10_neutral","topic_3_neutral",1,0.5
"topic_10_neutral","topic_3_positive",1,0.5
"topic_10_neutral","topic_7_negative",1,0.5
"topic_10_neutral","topic_9_negative",1,0.5
"topic_1_neutral","topic_10_neutral",1,0.5
"topic_1_neutral","topic_2_neutral",1,0.5
"topic_1_neutral","topic_3_neutral",1,0.5
"topic_1_neutral","topic_4_negative",1,0.5
"topic_1_neutral","topic_7_negative",1,0.5
"topic_1_neutral","topic_9_negative",1,0.5
"topic_2_negative","topic_9_neutral",1,0.5
"topic_3_neutral","topic_7_negative",1,0.5
"topic_3_neutral","topic_9_negative",1,0.5
"topic_3_positive","topic_8_neutral",1,0.5
"topic_4_negative","topic_7_negative",1,0.5
"topic_7_negative","topic_9_neutral",1,0.5
