"from","to","weight","weight_norm"
"topic_8_positive","topic_9_positive",83,1
"topic_6_negative","topic_9_positive",82,0.987951807228916
"topic_6_negative","topic_8_positive",81,0.975903614457831
"topic_1_negative","topic_9_positive",80,0.963855421686747
"topic_1_negative","topic_8_positive",76,0.91566265060241
"topic_3_negative","topic_4_positive",76,0.91566265060241
"topic_2_positive","topic_4_positive",74,0.891566265060241
"topic_7_negative","topic_9_positive",74,0.891566265060241
"topic_1_negative","topic_6_negative",71,0.855421686746988
"topic_4_positive","topic_7_positive",70,0.843373493975904
"topic_6_negative","topic_7_negative",70,0.843373493975904
"topic_1_positive","topic_4_positive",69,0.831325301204819
"topic_10_negative","topic_8_positive",68,0.819277108433735
"topic_1_negative","topic_7_negative",68,0.819277108433735
"topic_2_negative","topic_9_positive",68,0.819277108433735
"topic_7_negative","topic_8_positive",68,0.819277108433735
"topic_1_negative","topic_2_negative",67,0.807228915662651
"topic_2_negative","topic_8_positive",67,0.807228915662651
"topic_3_negative","topic_5_negative",67,0.807228915662651
"topic_2_positive","topic_3_negative",66,0.795180722891566
"topic_3_negative","topic_7_positive",66,0.795180722891566
"topic_4_positive","topic_5_negative",66,0.795180722891566
"topic_1_positive","topic_3_negative",63,0.759036144578313
"topic_1_positive","topic_7_positive",63,0.759036144578313
"topic_2_negative","topic_6_negative",62,0.746987951807229
"topic_3_negative","topic_8_positive",62,0.746987951807229
"topic_1_negative","topic_4_negative",60,0.72289156626506
"topic_1_positive","topic_2_positive",60,0.72289156626506
"topic_1_positive","topic_5_negative",60,0.72289156626506
"topic_2_positive","topic_5_negative",60,0.72289156626506
"topic_4_negative","topic_9_positive",60,0.72289156626506
"topic_4_positive","topic_8_positive",60,0.72289156626506
"topic_4_positive","topic_9_negative",60,0.72289156626506
"topic_7_positive","topic_9_negative",60,0.72289156626506
"topic_5_negative","topic_7_positive",59,0.710843373493976
"topic_5_positive","topic_8_positive",59,0.710843373493976
"topic_1_negative","topic_5_positive",58,0.698795180722892
"topic_5_negative","topic_8_positive",58,0.698795180722892
"topic_5_positive","topic_9_positive",58,0.698795180722892
"topic_10_negative","topic_6_negative",57,0.686746987951807
"topic_2_negative","topic_4_negative",57,0.686746987951807
"topic_2_positive","topic_7_positive",57,0.686746987951807
"topic_4_negative","topic_8_positive",57,0.686746987951807
"topic_10_positive","topic_3_negative",56,0.674698795180723
"topic_1_positive","topic_9_negative",56,0.674698795180723
"topic_3_negative","topic_9_negative",55,0.662650602409639
"topic_3_positive","topic_8_positive",55,0.662650602409639
"topic_4_negative","topic_6_negative",55,0.662650602409639
"topic_2_negative","topic_7_negative",54,0.650602409638554
"topic_3_positive","topic_9_positive",53,0.63855421686747
"topic_1_negative","topic_3_positive",52,0.626506024096386
"topic_2_positive","topic_9_negative",52,0.626506024096386
"topic_3_negative","topic_6_negative",51,0.614457831325301
"topic_3_positive","topic_6_negative",51,0.614457831325301
"topic_4_negative","topic_7_negative",51,0.614457831325301
"topic_5_negative","topic_6_negative",51,0.614457831325301
"topic_5_negative","topic_9_negative",51,0.614457831325301
"topic_5_positive","topic_6_negative",51,0.614457831325301
"topic_10_negative","topic_5_negative",50,0.602409638554217
"topic_2_negative","topic_5_positive",50,0.602409638554217
"topic_2_positive","topic_8_positive",50,0.602409638554217
"topic_10_negative","topic_9_positive",49,0.590361445783133
"topic_10_positive","topic_4_positive",49,0.590361445783133
"topic_10_positive","topic_8_positive",49,0.590361445783133
"topic_6_positive","topic_7_positive",49,0.590361445783133
"topic_7_positive","topic_8_positive",49,0.590361445783133
"topic_4_positive","topic_6_positive",48,0.578313253012048
"topic_1_negative","topic_10_negative",47,0.566265060240964
"topic_2_negative","topic_3_positive",47,0.566265060240964
"topic_4_positive","topic_6_negative",47,0.566265060240964
"topic_5_positive","topic_7_negative",47,0.566265060240964
"topic_10_negative","topic_4_positive",46,0.55421686746988
"topic_10_positive","topic_9_positive",46,0.55421686746988
"topic_3_negative","topic_6_positive",46,0.55421686746988
"topic_10_negative","topic_2_negative",45,0.542168674698795
"topic_10_positive","topic_6_negative",45,0.542168674698795
"topic_3_positive","topic_7_negative",45,0.542168674698795
"topic_10_positive","topic_2_positive",42,0.506024096385542
"topic_3_negative","topic_9_positive",42,0.506024096385542
"topic_6_positive","topic_9_negative",42,0.506024096385542
"topic_10_negative","topic_3_negative",41,0.493975903614458
"topic_10_negative","topic_3_positive",41,0.493975903614458
"topic_10_negative","topic_7_negative",41,0.493975903614458
"topic_10_negative","topic_7_positive",41,0.493975903614458
"topic_1_positive","topic_8_positive",41,0.493975903614458
"topic_3_positive","topic_4_negative",41,0.493975903614458
"topic_10_positive","topic_7_positive",40,0.481927710843373
"topic_1_positive","topic_6_positive",40,0.481927710843373
"topic_2_positive","topic_6_negative",40,0.481927710843373
"topic_4_negative","topic_5_positive",40,0.481927710843373
"topic_1_negative","topic_10_positive",39,0.469879518072289
"topic_2_positive","topic_6_positive",39,0.469879518072289
"topic_3_positive","topic_5_positive",39,0.469879518072289
"topic_10_positive","topic_5_negative",38,0.457831325301205
"topic_10_negative","topic_2_positive",37,0.44578313253012
"topic_10_positive","topic_5_positive",37,0.44578313253012
"topic_5_negative","topic_6_positive",37,0.44578313253012
"topic_5_negative","topic_9_positive",37,0.44578313253012
"topic_10_negative","topic_4_negative",36,0.433734939759036
"topic_1_positive","topic_10_positive",36,0.433734939759036
"topic_6_positive","topic_8_positive",36,0.433734939759036
"topic_10_positive","topic_7_negative",35,0.421686746987952
"topic_1_positive","topic_10_negative",35,0.421686746987952
"topic_3_negative","topic_8_negative",35,0.421686746987952
"topic_4_positive","topic_8_negative",35,0.421686746987952
"topic_4_positive","topic_9_positive",35,0.421686746987952
"topic_1_negative","topic_3_negative",34,0.409638554216867
"topic_8_positive","topic_9_negative",34,0.409638554216867
"topic_10_negative","topic_9_negative",33,0.397590361445783
"topic_10_positive","topic_2_negative",33,0.397590361445783
"topic_10_negative","topic_5_positive",32,0.385542168674699
"topic_6_negative","topic_7_positive",32,0.385542168674699
"topic_7_positive","topic_8_negative",32,0.385542168674699
"topic_1_positive","topic_6_negative",31,0.373493975903614
"topic_2_negative","topic_3_negative",31,0.373493975903614
"topic_3_negative","topic_7_negative",31,0.373493975903614
"topic_10_positive","topic_6_positive",30,0.36144578313253
"topic_1_positive","topic_8_negative",30,0.36144578313253
