"node","topic","sentiment","opinion"
"topic_1_negative",1,"negative",-1
"topic_1_positive",1,"positive",1
"topic_2_negative",2,"negative",-1
"topic_2_positive",2,"positive",1
"topic_3_negative",3,"negative",-1
"topic_3_positive",3,"positive",1
"topic_4_negative",4,"negative",-1
"topic_4_positive",4,"positive",1
"topic_5_negative",5,"negative",-1
"topic_5_positive",5,"positive",1
"topic_6_negative",6,"negative",-1
"topic_6_positive",6,"positive",1
"topic_7_negative",7,"negative",-1
"topic_7_positive",7,"positive",1
"topic_8_negative",8,"negative",-1
"topic_8_positive",8,"positive",1
"topic_9_negative",9,"negative",-1
"topic_9_positive",9,"positive",1
"topic_10_negative",10,"negative",-1
"topic_10_positive",10,"positive",1
