"file","topic","sentiment","opinion","node"
"kandidat_1",1,"negative",-1,"topic_1_negative"
"kandidat_1",2,"negative",-1,"topic_2_negative"
"kandidat_1",3,"negative",-1,"topic_3_negative"
"kandidat_1",4,"negative",-1,"topic_4_negative"
"kandidat_1",5,"positive",1,"topic_5_positive"
"kandidat_1",6,"positive",1,"topic_6_positive"
"kandidat_1",7,"positive",1,"topic_7_positive"
"kandidat_1",8,"positive",1,"topic_8_positive"
"kandidat_1",9,"positive",1,"topic_9_positive"
"kandidat_1",10,"positive",1,"topic_10_positive"
"kandidat_2",1,"negative",-1,"topic_1_negative"
"kandidat_2",2,"negative",-1,"topic_2_negative"
"kandidat_2",3,"positive",1,"topic_3_positive"
"kandidat_2",4,"positive",1,"topic_4_positive"
"kandidat_2",5,"positive",1,"topic_5_positive"
"kandidat_2",6,"negative",-1,"topic_6_negative"
"kandidat_2",7,"negative",-1,"topic_7_negative"
"kandidat_2",8,"positive",1,"topic_8_positive"
"kandidat_2",9,"positive",1,"topic_9_positive"
"kandidat_2",10,"positive",1,"topic_10_positive"
"kandidat_3",1,"negative",-1,"topic_1_negative"
"kandidat_3",2,"negative",-1,"topic_2_negative"
"kandidat_3",3,"positive",1,"topic_3_positive"
"kandidat_3",4,"negative",-1,"topic_4_negative"
"kandidat_3",5,"positive",1,"topic_5_positive"
"kandidat_3",6,"positive",1,"topic_6_positive"
"kandidat_3",7,"negative",-1,"topic_7_negative"
"kandidat_3",8,"positive",1,"topic_8_positive"
"kandidat_3",9,"positive",1,"topic_9_positive"
"kandidat_3",10,"positive",1,"topic_10_positive"
"kandidat_4",1,"negative",-1,"topic_1_negative"
"kandidat_4",2,"negative",-1,"topic_2_negative"
"kandidat_4",3,"negative",-1,"topic_3_negative"
"kandidat_4",4,"negative",-1,"topic_4_negative"
"kandidat_4",5,"positive",1,"topic_5_positive"
"kandidat_4",6,"negative",-1,"topic_6_negative"
"kandidat_4",7,"negative",-1,"topic_7_negative"
"kandidat_4",8,"positive",1,"topic_8_positive"
"kandidat_4",9,"positive",1,"topic_9_positive"
"kandidat_4",10,"positive",1,"topic_10_positive"
"kandidat_5",1,"negative",-1,"topic_1_negative"
"kandidat_5",2,"negative",-1,"topic_2_negative"
"kandidat_5",3,"positive",1,"topic_3_positive"
"kandidat_5",4,"negative",-1,"topic_4_negative"
"kandidat_5",5,"positive",1,"topic_5_positive"
"kandidat_5",6,"negative",-1,"topic_6_negative"
"kandidat_5",7,"positive",1,"topic_7_positive"
"kandidat_5",8,"positive",1,"topic_8_positive"
"kandidat_5",9,"positive",1,"topic_9_positive"
"kandidat_5",10,"positive",1,"topic_10_positive"
"kandidat_6",1,"negative",-1,"topic_1_negative"
"kandidat_6",2,"negative",-1,"topic_2_negative"
"kandidat_6",3,"negative",-1,"topic_3_negative"
"kandidat_6",4,"positive",1,"topic_4_positive"
"kandidat_6",5,"positive",1,"topic_5_positive"
"kandidat_6",6,"positive",1,"topic_6_positive"
"kandidat_6",7,"positive",1,"topic_7_positive"
"kandidat_6",8,"positive",1,"topic_8_positive"
"kandidat_6",9,"positive",1,"topic_9_positive"
"kandidat_6",10,"positive",1,"topic_10_positive"
"kandidat_7",1,"negative",-1,"topic_1_negative"
"kandidat_7",2,"positive",1,"topic_2_positive"
"kandidat_7",3,"positive",1,"topic_3_positive"
"kandidat_7",4,"positive",1,"topic_4_positive"
"kandidat_7",5,"positive",1,"topic_5_positive"
"kandidat_7",6,"negative",-1,"topic_6_negative"
"kandidat_7",7,"negative",-1,"topic_7_negative"
"kandidat_7",8,"positive",1,"topic_8_positive"
"kandidat_7",9,"positive",1,"topic_9_positive"
"kandidat_7",10,"negative",-1,"topic_10_negative"
"kandidat_8",1,"negative",-1,"topic_1_negative"
"kandidat_8",2,"negative",-1,"topic_2_negative"
"kandidat_8",3,"positive",1,"topic_3_positive"
"kandidat_8",4,"positive",1,"topic_4_positive"
"kandidat_8",5,"positive",1,"topic_5_positive"
"kandidat_8",6,"positive",1,"topic_6_positive"
"kandidat_8",7,"negative",-1,"topic_7_negative"
"kandidat_8",8,"positive",1,"topic_8_positive"
"kandidat_8",9,"positive",1,"topic_9_positive"
"kandidat_8",10,"positive",1,"topic_10_positive"
"kandidat_9",1,"negative",-1,"topic_1_negative"
"kandidat_9",2,"negative",-1,"topic_2_negative"
"kandidat_9",3,"negative",-1,"topic_3_negative"
